utterance,labels
borrar la alarma actual,cancel_alarm
enseña mis alarmas configuradas para la proxima semana,show_alarms
configura alarma para que buzine en una hora,set_alarm
enseñar mis alarmas,show_alarms
cancelar la ultima alarma,cancel_alarm
cancelar la configuración de la alarma para hoy,cancel_alarm
posponer la alarma actual para 5 minutos,snooze_alarm
cancelar mis alarmas,cancel_alarm
configurar la alarma de mi celular para las 7pm,set_alarm
cancelar mi alarma de hoy a las 5pm,cancel_alarm
desconectar alarmas para esta semana ,cancel_alarm
por favor enseñar todas las alarmas,show_alarms
configurar alarma para 5 minutos,set_alarm
configurar alarma para las 6 am mañana,set_alarm
configurar la alarma para la cita com el doctor para mañana a las 2 pm,set_alarm
borrar todas las alarmas configuradas para hoy,cancel_alarm
conectar mi alarma de domingo,set_alarm
"configurar alarmas para Lunes, Miercoles, y Viernes para las 10am",set_alarm
hay alguna alarma para las 8am configurada en la mañana?,show_alarms
configurar alarma cada lunes a las 4am,set_alarm
configurar alarma para las 6 pm hoy,set_alarm
cancelar alarmas para los jueves,cancel_alarm
configurar alarma para las 9pm,set_alarm
por favor configurar mi alarma de tres horas en adelante,set_alarm
¿Se han configurado las alarmas para todas las mañanas de esta semana?,show_alarms
alarma configurada para las 545am,set_alarm
configurar dos alarmas.,set_alarm
cambiar la alarma de mañana de 6am para las 9am,modify_alarm
alarma para Jueves a las 10a,set_alarm
configurar alarma para las 12 pm hoy por la noche,set_alarm
configurar alarma para las 7am en los fin de semanas,set_alarm
configurar alarma para las 2 pm,set_alarm
configurar alarma para las 6 am,set_alarm
Tiempo restante en la alarma?,time_left_on_alarm
cuanto tiempo hay en falta hasta que termine la alarma?,time_left_on_alarm
cancelar todas mis alarmas,cancel_alarm
configurar una alarma para cada 15 minutos,set_alarm
borrar todas las alarmas que tengo configuradas para esta semana,cancel_alarm
cancelar la alarma de las 4:00,cancel_alarm
agregar diez minutos mas para mi alarma de las 8pm,modify_alarm
configurar alarma para las 3pm hoy,set_alarm
detener mi alarma por favor,cancel_alarm
configurar alarma para cada 30 minutos,set_alarm
hacer com que la alarma se detenga,cancel_alarm
cambiar mi alarma para las 8am,modify_alarm
¿A qué hora está configurada mi alarma?,show_alarms
Configurar mi alarma para que repita todos los Martes,set_alarm
configurar alarma por 5 minutos.,set_alarm
necesito de una alarma en 10 minutos en los proximos cinco minutos,set_alarm
configurar alarma para cada minutos en los proximos cinco minutos,set_alarm
desconectar la alarma para Sabado y Domingo,cancel_alarm
configurar mi alarma para las 7am mañana.,set_alarm
configurar alarma para las 5 am de Lunes a Viernes,set_alarm
desconectar alarma,cancel_alarm
Reanudar todas las alarmas,set_alarm
configurar alarma en cada cinco minutos,set_alarm
desconectar todas las alarmas hoy,set_alarm
desconectar alarma,cancel_alarm
configurar una alarma para las 7am,set_alarm
agregar alarma para mañana a las 10 am,set_alarm
NECESITO LA ALARMA CONFIGURADA PARA LAS 4:45 MAÑANA POR LA MAÑANA.,set_alarm
cancelar alarma para mañana a las 8 am,cancel_alarm
Configurar una alarma para la entrega de mi colchón,set_alarm
borrar alarmas preestablecidas,cancel_alarm
enseñar el tiempo restante hasta la proxima alarma,time_left_on_alarm
Cancelar alarma preestablecida,cancel_alarm
tengo una alarma configurada,show_alarms
configurar alarma por 5 minutos.,set_alarm
configurar una alarma para que se active en cada cinco minutos,set_alarm
agregar el Sabado para mi alarma de la mañana.,modify_alarm
¿Mi alarma está activada antes de las 10am del domingo?,show_alarms
configurar alarma por 3 minutos,set_alarm
Configurar una alarma para las 9:30 PM recordándome para completar mi proceso de cocción.,set_alarm
configurar una alarma para las 8am todos los días de la semana.,set_alarm
configurar alarmas para las 7:30 am Miércoles - Viernes,set_alarm
cambiar alarma de las 2 pm para las 4 pm,modify_alarm
configurar alarma para las 5:30 am hoy por la noche,set_alarm
me gustaría configurar mi alarma para mañana por la mañana a las 6:30am.,set_alarm
Detener alarma,cancel_alarm
configurar alarma hoy a las 3 pm para recojer a Alice,set_alarm
posponer alarma para 15 minutos,snooze_alarm
configurar alarma para las 7 am mañana,set_alarm
configurar una alarma,set_alarm
posponer una alarma,snooze_alarm
configurar dos alarmas para mañana por la mañana,set_alarm
configurar alarma para Lunes com 5 segundos de posponeo,set_alarm
Cuantos tiempo queda en la alarma de horno?,time_left_on_alarm
Borrar alarma,cancel_alarm
borrar todas mis alarmas,cancel_alarm
leer todas mis alarmas,show_alarms
Sin necesidad de alarma para hoy,cancel_alarm
cambiar alerta de alarma,modify_alarm
configurar alarma para 30 minutos desde ahora,set_alarm
configurar alarma para 25 minutos,set_alarm
configurar alarmas para las 5pm,set_alarm
configurar alarma para las 3 am,set_alarm
cancelar mis alarmas del trabajo,cancel_alarm
borrar todas las alarmas.,cancel_alarm
configurar una alarma para cada 30 minutos hasta las 8 pm,set_alarm
posponer alarma para 10 minutos,snooze_alarm
configurar alarma para las 4:30a mañana,set_alarm
detener la alarma,cancel_alarm
Cancelar todas las alarmas recurrentes.,cancel_alarm
configurar mi alarma para las 3am el lunes,set_alarm
Cancelar todas las alarmas en el dispositivo.,cancel_alarm
configurar alarma para el 1-1-2019,set_alarm
configurar alarma de las 6am,set_alarm
alarma desconectado,cancel_alarm
cuantas alarmas yo tengo hoy,show_alarms
configurar alarma cada 15 minutos.,set_alarm
cancelar la alarma de las 5pm para hoy por la noche,cancel_alarm
configurar alarma,snooze_alarm
configurar alarma para las 6 am,set_alarm
¿Recuerdo haber configurado mi alarma para mañana?,show_alarms
configurar una alarma para todos los Martes a las 12.,set_alarm
configurar alarma cada 30 minutos,set_alarm
alarmas mañana?,set_alarm
configurar una alarma para cada 22 minutos.,set_alarm
cancelar la alarma,cancel_alarm
configurar alarma semanal para despertar a las 6 am,set_alarm
borrar todas las alarmas,cancel_alarm
cuantas alarmas ya tengo configuradas?,show_alarms
cancelar la proxima alarma,cancel_alarm
cambiar la alarma para 6:45 am,modify_alarm
configurar alarma para las 6pm por favor,set_alarm
cancelar todas mis alarmas.,cancel_alarm
configurar alarma para mañana a las 7 am,set_alarm
cuanto tiempo antes de mi próxima alarma,time_left_on_alarm
borrar la ultima alarma,cancel_alarm
configurar alarma para las 6am mañana por la mañana.,set_alarm
configurar alarma para cada cinco minutos,set_alarm
cancelar la alarma de 6 am el jueves,cancel_alarm
configurar alarma para cada 5 minutos,set_alarm
configurar alarma para cuatro horas desde ahora,set_alarm
borrar todas mis alarmas,cancel_alarm
enseñar todas mis alarmas para el proximo mês,show_alarms
cancelar todas mis alarmas,cancel_alarm
reconfigurar alarma para las 6pm,cancel_alarm
cancelar todas las alarmas para las 7 am mañana.,cancel_alarm
cuánto tiempo hasta que se buzina mi alarma,time_left_on_alarm
configurar alarma para 5 minutos por favor,set_alarm
configurar alarma para las 10pm,set_alarm
borrar todas mis alarmas,cancel_alarm
Configurar una alarma cada dos viernes a las 8pm,set_alarm
configurar alarma para las 1:00 am,set_alarm
agregar alarma para las 8:55 PM todos los dias,set_alarm
conectar alarma,set_alarm
configurar una alarma para las 3 PM para caminar a mi perro diario,set_alarm
Borrar todas las alarmas com un incremento de 3 minutos,cancel_alarm
configurar alarma para las 8:30 mañana,set_alarm
cancelar todas mis alarmas,cancel_alarm
configurar alarma para las 9:30 am.,set_alarm
borrar todas mis alarmas,cancel_alarm
cancelar todas mis alarmas,cancel_alarm
configurar alarma para las 9:45am,set_alarm
cambiar alarma,modify_alarm
configurar una alarma para el jueves a las 6,set_alarm
desconectar alarma,cancel_alarm
configurar alarma para cada 15 minutos,set_alarm
configurar alarma cada 4 horas por 24 horas.,set_alarm
repetir alarma para mañana,modify_alarm
deshabilita la próxima alarma,cancel_alarm
configurar alarma para las 5am Viernes.,set_alarm
cambiar alarma de las 8am para las 9:30 am.,modify_alarm
configurar alarma para el trabajo,set_alarm
¿Cuánto tiempo más hasta que mi alarma suene?,time_left_on_alarm
cancelar alarma de las 2 pm hoy,cancel_alarm
enseñar todas las alarmas matutinas.,show_alarms
configurar alarma para el trabajo que buzine a las 7 PM,set_alarm
configurar alarma por 5 dias desde ahora.,set_alarm
detener alarma,cancel_alarm
mencionar todas mis alarmas,show_alarms
cancelar todas mis alarmas,cancel_alarm
¿Puedes hacer una alarma recurrente durante las noches de lunes a viernes a las 8PM?,set_alarm
configurar alarma para 15 minutos desde ahora,set_alarm
cual alarma esta configurada para buzinar?,show_alarms
cuantas alarmas tengo configuradas para hoy por la noche?,show_alarms
cancelar todas las alarmas hoy,cancel_alarm
configurar alarma por una hora para las proximas 4 horas,set_alarm
cambiar diariamente alarma para las 6:15 a.m.,modify_alarm
configurar una alarma para el medio dia y la media noche hoy.,set_alarm
posponer mi alarma,snooze_alarm
posponer alarma por 20 minutos,snooze_alarm
cuantas alarmas yo tengo,show_alarms
cambiar mi alarma de las 8am.,modify_alarm
posponer esta alarma por una hora,snooze_alarm
cancelar alarma configurar para las 8 mañana por la mañana,cancel_alarm
configurar alarma para las 3 am,set_alarm
configurar alarma para las 10 am mañana,set_alarm
desconectar todas mis alarmas,cancel_alarm
por favor agregar una alarma,set_alarm
configurar alarma para las 8 am mañana,set_alarm
restablecer la alarma.,cancel_alarm
cuanto tiempo hasta que suene mi alarma,time_left_on_alarm
¿Cuánto tiempo tiene mi alarma por favor,time_left_on_alarm
desconectar mi alarma,cancel_alarm
cancelar todas las alarmas,cancel_alarm
cancelar todas las alarmas,cancel_alarm
configurar alarma para una hora,set_alarm
configurar una alarma para despertarme a las cinco am mañana,set_alarm
lerr todas mis alarmas,show_alarms
cancelar todas las alarmas para mañana,cancel_alarm
repetir alarma de ayer para mañana,modify_alarm
necesito de ver las proximas alarmas,show_alarms
configurar alarma para las 5:01 am.,set_alarm
Cancelar mi alarma de despertador,cancel_alarm
configurar alarma para el medio dia,set_alarm
desconectar mi alarma de la mañana,cancel_alarm
nueva alarma para las 5:30am,set_alarm
configurar alarma para las 10 pm.,set_alarm
NECESITO DE CONFIGURAR MI ALARMA,set_alarm
configurar alarma para las 8:38 a.mm mañana por la mañana.,set_alarm
A qué hora está configurar mi alarma para esta noche?,show_alarms
Parar alarma,cancel_alarm
Resetear alarma,cancel_alarm
Borrar todas las alarmas,cancel_alarm
Eliminar mi alarma de entrenamiento 06:00 am,cancel_alarm
Configurar la alarma para las 05:00 am del martes de esta semana,set_alarm
Cancelar todas las alarmas,cancel_alarm
"Configurar 3 alarmas separadas para el lunes a las 7, 12 y 6",set_alarm
Cambiar alarma número 2 de am para pm,modify_alarm
Cancelar mi alarma para mañana en la mañana,cancel_alarm
Cuanto tiempo le queda a la alarma?,time_left_on_alarm
Leer alarmas para hoy,show_alarms
Configurar alarma para las 07:00 am,set_alarm
Configurar el temporizador de alarma en 6 minutos,set_alarm
Crear una alarma para despertar cada mañana a las 6,set_alarm
Reiniciar mi alarma despertadora para las 08:00 am los miércoles,cancel_alarm
Configurar alarma para una hora,set_alarm
Eliminar todas mis alarmas por favor,cancel_alarm
Cancelar mi alarma para mañana,cancel_alarm
Eliminar todas las alarmas,cancel_alarm
Configurar una alarma para las 04:00 pm hoy,set_alarm
Cancelar alarma 2,cancel_alarm
Verificar la alarma si está programada para las 5 a.m. mañana por la mañana,show_alarms
Configurar alarma para las 05:45 am,set_alarm
Cancelar alarma para mañana,cancel_alarm
Configurar una alarma por 43 minutos desde ahora,set_alarm
Cancelar la alarma pospuesta,cancel_alarm
Cuánto tiempo hasta que mi alarma suene?,time_left_on_alarm
A que hora está configurada mi próxima alarma?,show_alarms
Por favor configurar una alarma por 20 minutos,set_alarm
Configurar alarma cada 5 minutos por 45 minutos,set_alarm
Eliminar la alarma reciente,cancel_alarm
Cancelar todas las alarmas,cancel_alarm
Configurar una alarma para despertar a las 04:00 am,set_alarm
Cambiar todas las alarmas para que solo se activen de lunes a viernes,modify_alarm
Configurar la alarma cada minuto durante 30 minutos.,set_alarm
Configurar una alarma por cada 30 minutos durante las próximas 4 horas,set_alarm
Configurar una alarma para la próxima semana el sábado a las 5 a.m.,set_alarm
Que alarmas están configuradas?,show_alarms
Configurar una alarma para cada 25 minutos,set_alarm
Configurar la alarma para ir a la escuela antes de las 8 a.m.,set_alarm
Cancelar alarma para el domingo,cancel_alarm
Pausar alarma,snooze_alarm
Configurar alarma para las 06:00 am del lunes,set_alarm
Configurar la alarma para las 04:00 am pero en vibración,set_alarm
Eliminar la alarma para las 08:00 am,cancel_alarm
Configurar una alarma por el tiempo que estoy en el gimnasio.,set_alarm
Configurar una alarma para que solo suene por 2 minutos,set_alarm
Cancelar todas las alarmas,cancel_alarm
Cancelar alarma de mañana,cancel_alarm
Quiero posponer la alarma por 10 minutos,snooze_alarm
Configurar cinco alarmas para que se activen en intervalos de 5 minutos.,set_alarm
Eliminar todas las alarmas programadas,cancel_alarm
Cancelar mis alarmas por hoy,cancel_alarm
Configurar una alarma para mañana en la mañana,set_alarm
Cuanto tiempo le queda a mi alarma?,time_left_on_alarm
Crear alarma,set_alarm
Por favor cancelar todas las alarmas,cancel_alarm
Configurar alarma para las 05:30 am,set_alarm
Por favor configurar alarma para las 06:00 am,set_alarm
Configurar alerta para los días de semana a las 06:00 am,set_alarm
Configurar alarma para las 09:30 am,set_alarm
Configurar alarma para las 10:00 pm,set_alarm
Necesito cancelar mi alarma para mañana,cancel_alarm
Configurar la alarma en 10 minutos,set_alarm
Puedes configurar la alarma para las 06:00 am,set_alarm
Configurar una alarma desde 08:30 pm,set_alarm
Posponer la alarma por otros 5 minutos,snooze_alarm
Muestrar las alarmas en la radio,show_alarms
Configurar mi alarma a las 2 pm,set_alarm
Configura alarma a las 6pm,set_alarm
Posponer la alarma actual,snooze_alarm
Muestra todas las alarmas,show_alarms
Tengo una alarma configurada para mañana en la mañana?,show_alarms
Configurar una nueva alarma,set_alarm
Configurar una alarma a las 8:30am,set_alarm
Parar todas las alarmas,cancel_alarm
Configurar una alarma para que se active en 10,set_alarm
"Configurar una alarma pa las 7 AM mañana, por favor.",set_alarm
Cuánto tiempo falta antes que suene la alarma?,time_left_on_alarm
Cuántas alarmas están configuradas hoy?,show_alarms
Configurar una alarma para el próximo año para recordar los planes de boda,set_alarm
Apagar alarma,cancel_alarm
Déjame dormir hasta las 8 mañana en la mañana,set_alarm
Por favor muéstrame todas las alarmas,show_alarms
Configurar una alarma a las 5:00 pm,set_alarm
Muéstrame todas mis alarmas,show_alarms
Configurar alarma hoy a las 7 am ,set_alarm
Configurar una alarma en 10 minutos a paratir ahora,set_alarm
Modifica mi alarma de las 8am a las 8:15am,modify_alarm
Configurar una alarma mañana a las 9 am,set_alarm
Por favor configura una alarma para el martes a las 9 a.m.,set_alarm
Muestra todas las alarmas,show_alarms
A qué hora es la alarma mañana?,show_alarms
Apaga mi alarma de mañana en la mañana.,cancel_alarm
Borrar todas mis alarmas activas.,cancel_alarm
Necesito configurar una alarma a las 5 pm.,set_alarm
Configurar alarma cada dos minutos durante los próximos 20 minutos,set_alarm
Cuánto tiempo queda antes que mi alarma suene?,time_left_on_alarm
Establecer alarma a las 6:30 am todos los días de semana,set_alarm
Muéstrame la alarma de esta semana,show_alarms
Apagar alarma ahora,cancel_alarm
Configurar alarma cada 30 minutos,set_alarm
Cancelar alarmas,cancel_alarm
Establecer mi alarma para las 9am mañana,set_alarm
Apagar alarma,cancel_alarm
Borrar todas mis alarmas para mañana,cancel_alarm
Borrar alarma de hoy a las 5 am,cancel_alarm
Establecer una alarma por cada diez minutos,set_alarm
Apaga la alarma,cancel_alarm
Establecer alarma cada 20 minutos para ir al baño,set_alarm
Establecer alarma para mañana en la mañana ,set_alarm
Muestra las alarmas configuradas para mañana,show_alarms
Establecer alarma de lunes a viernes a las 7 am.,set_alarm
Cancelar todos los ,cancel_alarm
Apagar la alarma para mañana,cancel_alarm
Establecerás una alarma cada 5 minutos,set_alarm
Apagar alarma,cancel_alarm
Muestra todas las alarmas,show_alarms
Tengo alguna alarma configurada?,show_alarms
Configurar una alarma para el atardecer,set_alarm
Borrar todas mis alarmas de mañana,cancel_alarm
Mostrar todas las alarmas del viernes por favor,show_alarms
Configurar alarma a las 7 pm esta noche,set_alarm
Configurar nueva alarma,set_alarm
Establecer una alarma para mañana en la mañana a las 9 ,set_alarm
Configurar una alarma a las 8:45am,set_alarm
Crear una nueva alarma para las 10PM,set_alarm
Apagar mis alarmas por toda la semana ,cancel_alarm
Cambiar mi alarma de 5 a 6 am,modify_alarm
Cancela mi alarma del lunes ,cancel_alarm
Mostrar todas las alarmas,show_alarms
Establecer alarma para las 3:00 pm,set_alarm
Cambiar mi alarma de mañana 5 am a las 6 am,modify_alarm
Déjame ver todas las alarmas,show_alarms
Necesito configurar una alarma a las 6:00 am,set_alarm
A qué hora es mi alarma esta tarde,show_alarms
Agregar una alarma a las 5 AM.,set_alarm
Mostrar mis alarmas,show_alarms
"Establecer alarma para las 6 am, 6:12am, y las 6:30am por favor.",set_alarm
Establecer alarma cada minuto durante 6 minutos,set_alarm
Establecer alarma para las 5:30 de esta noche,set_alarm
Cancelar todas las alarmas,cancel_alarm
Posponer las alarmas por 5 minutos,snooze_alarm
Apagar la alarma de las 6am,cancel_alarm
Cancelar todas las alarmas,cancel_alarm
Cancelar alarma para mañana ,cancel_alarm
Establecer alarma por cada 15 minutos,set_alarm
Es necesario que la alarma esté establecida para las 5 am,set_alarm
Dime cuando la alarma vaya a sonar por favor,show_alarms
Posponer mi alarma por favor,snooze_alarm
Cancelar todas mis alarmas existentes ,cancel_alarm
Establecer alarma a las 6pm del martes en la noche ,set_alarm
Cancelar todas las alarmas ,cancel_alarm
Establecer mi alarma en 45 minutos,set_alarm
Establecer mi alarma en 45 minutos,set_alarm
Cancelar todas las alarmas del sábdo y el domingo,cancel_alarm
Establecer alarmas en 6 horas ,set_alarm
Cancelar la alarma,cancel_alarm
Cuánto tiempo falta para mi alarma?,time_left_on_alarm
Reanudar mi alarma ,set_alarm
Cambiar alarma de las 6 am para las 6 pm ,modify_alarm
Borrar alarma,cancel_alarm
Qué alarmas están configuradas?,show_alarms
Cancelar mi alarma de mañana a las 7 am ,cancel_alarm
Posponer mi alarma por 5 minutos ,snooze_alarm
Establacer una alarma por cada 3 minutos ,set_alarm
Cancelar la alarma del miércoles a las 9 pm ,cancel_alarm
Establecer alarma por 2 horas ,set_alarm
Actualizar la alarma ,modify_alarm
Establecer una alarma por 45 minutos para despertar de la siesta,set_alarm
Posponer alarma por 10 minutos ,snooze_alarm
Repetir alarma ,modify_alarm
Detener alarma ,cancel_alarm
Apagar alarma los fines de semana,cancel_alarm
Establecer una alarma por cada minuto durante 15 minutos ,set_alarm
Establecer alarma para esta noche a las 8 ,set_alarm
Cuantas alarmas tengo?,show_alarms
Establecer una alarma para el miércoles a las 6 pm ,set_alarm
Repetir alarma mañana ,modify_alarm
Borrar la alarma establecida para mañana ,cancel_alarm
Cuanto tiempo falta para mi próxima alarma? ,time_left_on_alarm
Establecer una alarma para mañana a las 11 am ,set_alarm
Establecer alarma para las 5 am ,set_alarm
Establecer alarma en la mañana a las 8 am ,set_alarm
Muéstrame todas mis alarmas para hoy ,show_alarms
