,id,text,predictions,prompt,output,questions,question
10,10,"Hi, I am unable to see transaction in my account which i made couples of hours ago from my UK account. Please help me in this.",balance_not_updated_after_bank_transfer;card_payment_not_recognised;direct_debit_payment_not_recognised,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: balance not updated after bank transfer Option 2: card payment not recognised Option 3: direct debit payment not recognised Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: balance not updated after bank transfer Option 2: card payment not recognised Option 3: direct debit payment not recognised Question: I understand you are having issues with your bank transfer. Was your balance not updated, your card payment not recognised or your direct debit payment not recognised? **END** Set 4: Option","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you are having issues with your bank transfer. Was your balance not updated, your card payment not recognised or your direct debit payment not recognised?","I understand you are having issues with your bank transfer. Was your balance not updated, your card payment not recognised or your direct debit payment not recognised?"
11,11,What do I do to stop unauthorized transactions on my card? I was never in the place from which the transactions on my bill were made and I never made them. Please help!,card_payment_not_recognised;compromised_card,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment not recognised Option 2: compromised card Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card payment not recognised Option 2: compromised card Question: I understand you are having issues with your card payment. Was your card payment not recognised or was it compromised? **END** Set 4: Option 1: card payment not processed Option 2: card payment not received Question: I understand you are having,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your card payment. Was your card payment not recognised or was it compromised? ; I understand you are having,I understand you are having issues with your card payment. Was your card payment not recognised or was it compromised?
12,12,Is my card denied anywhere?,card_not_working;declined_card_payment,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card not working Option 2: declined card payment Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card not working Option 2: declined card payment Question: I understand this was about your card. Was it not working or declined? **END** Set 4: Option 1: card swallowed Option 2: card stuck Question: I understand this was about your card. Was it swallowed or stuck? **END,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand this was about your card. Was it not working or declined? ; I understand this was about your card. Was it swallowed or stuck? **END,I understand this was about your card. Was it not working or declined?
13,13,"How come my top-up didn't go through instantly, like it usually does?",top_up_failed;top_up_reverted,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up failed Option 2: top up reverted Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up failed Option 2: top up reverted Question: I understand you are having issues with your top up. Was your top up failed or reverted? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand your card has expired or been blocked. Which is,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your top up. Was your top up failed or reverted? ; I understand your card has expired or been blocked. Which is,I understand you are having issues with your top up. Was your top up failed or reverted?
14,14,is there a reason that my payment didnt go through,declined_card_payment;reverted_card_payment?,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: declined card payment Option 2: reverted card payment? Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: declined card payment Option 2: reverted card payment? Question: Option 1: declined card payment Option 2: reverted card payment? Question: I understand you had an issue with your card payment. Was it declined or reverted? **END** Option 1: declined card payment Option 2: revert,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: declined card payment Option 2: reverted card payment? ; I understand you had an issue with your card payment. Was it declined or reverted?,Option 1: declined card payment Option 2: reverted card payment?
15,15,"What stopped my transfer, from being accepted?",beneficiary_not_allowed;declined_transfer;failed_transfer,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: beneficiary not allowed Option 2: declined transfer Option 3: failed transfer Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: beneficiary not allowed Option 2: declined transfer Option 3: failed transfer Question: I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary? **END** Set 4: Option 1: card expired Option 2","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary?","I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary?"
16,16,I can't add any more money.,pending_top_up;top_up_failed;top_up_limits;top_up_reverted;topping_up_by_card,,,,
17,17,I have an outgoing transfer,balance_not_updated_after_bank_transfer;pending_transfer;receiving_money;transfer_into_account;transfer_timing;verify_source_of_funds,,,,
18,18,What can I do to verify my card?,activate_my_card;card_linking;card_not_working,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: activate my card Option 2: card linking Option 3: card not working Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: activate my card Option 2: card linking Option 3: card not working Question: I understand you need to activate your card. Is it not working or do you need to link it? **END** Set 4: Option 1: card blocked Option 2: card stolen","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you need to activate your card. Is it not working or do you need to link it?",I understand you need to activate your card. Is it not working or do you need to link it?
19,19,What fees to you have for top ups?,top_up_by_bank_transfer_charge;top_up_by_card_charge,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up by bank transfer charge Option 2: top up by card charge Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: top up by bank transfer charge Option 2: top up by card charge Question: Option 1: I'm sorry, I didn't understand your message. Could you please repeat it? Option 2: I'm sorry, I didn't understand your message. Could you please repeat it? Option 3: I'm sorry, I didn't understand","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I'm sorry, I didn't understand your message. Could you please repeat it? Option 2: I'm sorry, I didn't understand your message. Could you please repeat it? Option 3: I'm sorry, I didn't understand","Option 1: I'm sorry, I didn't understand your message. Could you please repeat it? Option 2: I'm sorry, I didn't understand your message. Could you please repeat it? Option 3: I'm sorry, I didn't understand"
20,20,Money transfer help? How long?,balance_not_updated_after_bank_transfer;pending_transfer;transfer_not_received_by_recipient;transfer_timing,,,,
21,21,How do I know if my top up worked?,pending_top_up;top_up_failed,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pending top up Option 2: top up failed Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pending top up Option 2: top up failed Question: I understand you are trying to top up your account. Was your top up pending or failed? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand your card has expired or been blocked. Which is it?,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are trying to top up your account. Was your top up pending or failed? ; I understand your card has expired or been blocked. Which is it?,I understand you are trying to top up your account. Was your top up pending or failed?
22,22,What should I do with my stuck ATM?,card_swallowed;declined_cash_withdrawal,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card swallowed Option 2: declined cash withdrawal Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: card swallowed Option 2: declined cash withdrawal Question: I understand you are having issues with your cash withdrawal. Was your cash withdrawal declined or did you swallow your card? **END** Set 4: Option 1: card not working Option 2: card swallowed Question:,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your cash withdrawal. Was your cash withdrawal declined or did you swallow your card? ;,I understand you are having issues with your cash withdrawal. Was your cash withdrawal declined or did you swallow your card?
23,23,show me how to top up,top_up_by_cash_or_cheque;topping_up_by_card;transfer_into_account,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: top up by cash or cheque Option 2: topping up by card Option 3: transfer into account Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: top up by cash or cheque Option 2: topping up by card Option 3: transfer into account Question: I understand you are trying to top up your account. Can you please let me know if you are topping up by cash or cheque or by card? **END** Set 4: Option","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you are trying to top up your account. Can you please let me know if you are topping up by cash or cheque or by card?",I understand you are trying to top up your account. Can you please let me know if you are topping up by cash or cheque or by card?
24,24,who charged my card,card_payment_fee_charged;card_payment_not_recognised;declined_card_payment,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: card payment fee charged Option 2: card payment not recognised Option 3: declined card payment Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: card payment fee charged Option 2: card payment not recognised Option 3: declined card payment Question: I understand you are having issues with your card payment. Was the payment fee charged, not recognised or declined? **END** Set 4: Option 1: card payment successful Option 2:","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand you are having issues with your card payment. Was the payment fee charged, not recognised or declined?","I understand you are having issues with your card payment. Was the payment fee charged, not recognised or declined?"
25,25,My transfer will not go through.,beneficiary_not_allowed;declined_transfer;failed_transfer,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: beneficiary not allowed Option 2: declined transfer Option 3: failed transfer Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: beneficiary not allowed Option 2: declined transfer Option 3: failed transfer Question: I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary? **END** Set 4: Option 1: card expired Option 2","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary?","I understand this was about a transfer. Was the transfer failed, declined or not allowed to the beneficiary?"
26,26,"Hello. I bought an item a while ago, and have since requested a refund. However, upon checking my online statements, it seems that I haven't been issued a refund yet. How can this be remedied?",Refund_not_showing_up;request_refund,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: Refund not showing up Option 2: request refund Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: Refund not showing up Option 2: request refund Question: I understand you are trying to get a refund. Did you request it or is it not showing up? **END** Set 4: Option 1: cancelled order Option 2: order not cancelled Question: I understand you have an order that was,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are trying to get a refund. Did you request it or is it not showing up? ; I understand you have an order that was,I understand you are trying to get a refund. Did you request it or is it not showing up?
27,27,"I wanted to transfer money to another account, but now I don't have to so I'd like to cancel said transfer. How can I do that?",beneficiary_not_allowed;cancel_transfer,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: beneficiary not allowed Option 2: cancel transfer Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: beneficiary not allowed Option 2: cancel transfer Question: I understand you are trying to send money to someone who is not allowed to receive it. Is that correct? **END** Option 1: cancel transfer Option 2: beneficiary not allowed Question: I understand you are trying to send money to someone who is not allowed,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are trying to send money to someone who is not allowed to receive it. Is that correct? ; I understand you are trying to send money to someone who is not allowed,I understand you are trying to send money to someone who is not allowed to receive it. Is that correct?
